Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Uganda,GDP per capita (current US$),258.0503387,236.0211889,241.9846884,250.7154366,292.381858,330.4054027,346.5182553,401.3891309,472.8426815,798.9470899,823.4881443,835.6200606,795.2228676,818.2854274,896.0547955,862.9346104,752.6965717,765.2183323,792.1657002,822.1711501,845.7664639,882.7917174,963.0673142,1002.309139
Uganda,GDP growth (annual %),3.141907338,5.183661125,8.732685764,6.473258672,6.807233344,6.332565116,10.78474439,8.412425966,8.708751902,6.801517349,5.637611637,9.391655493,3.837455606,3.586905826,5.106307325,5.18785986,4.781000293,3.131405517,6.303923783,6.438745033,2.951306422,3.536580341,4.588021922,5.336972955
Uganda,"School enrollment, secondary (% gross)",..,..,..,..,19.12254906,..,..,24.09111023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,"Life expectancy at birth, total (years)",49.64,50.576,51.443,52.414,53.699,54.926,56.118,57.248,58.253,59.157,59.959,60.791,61.579,62.353,63.057,63.831,64.494,65.174,65.775,66.354,66.41,66.45,67.675,68.252
Uganda,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,78.6,..,..,72.4,..,..,..,63.5,..,..,56.2,..,..,..,60.1,..,..,59.8,..,..,..,..
Uganda,Gini index,..,..,45.2,..,..,42.9,..,..,..,44.2,..,..,41,..,..,..,42.8,..,..,42.7,..,..,..,..
Uganda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.529,3.52,3.5,3.6,2.705,1.9,2.272,2.677,3.052,3.6,3.619,3.528,3.551,1.91,2.348,2.679,3.008,3.428,3.25,3.06,3.831,3.422,2.886,2.787
Uganda,"Inflation, consumer prices (annual %)",..,..,..,..,..,..,..,..,..,..,..,16.56434962,12.67903772,4.905208757,3.07570669,5.589686063,5.706375046,5.209717059,2.61601191,2.867588034,3.313322895,2.204572048,7.19578886,5.350948043
Ethiopia,GDP per capita (current US$),122.2692026,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,368.5747123,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,621.8456738,696.1960848,745.6324339,747.9680037,828.7090805,905.3131593,910.9478871,1011.073324,..
Ethiopia,GDP growth (annual %),6.07321748,8.301306321,1.514725706,-2.161359722,13.57260314,11.81876595,10.83472707,11.456167,10.78852169,8.802553198,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189658,6.816147786,8.364085733,6.059530891,5.641530693,5.321759884,6.594245994
Ethiopia,"School enrollment, secondary (% gross)",14.45131969,17.34301949,19.19392014,19.56677055,21.47705078,23.85487938,27.47756958,30.2513504,31.31093025,31.64901924,33.04785919,34.44689941,36.21934891,..,..,33.9114222,..,..,..,..,..,..,..,..
Ethiopia,"Life expectancy at birth, total (years)",50.88,51.428,52.085,52.877,53.735,54.364,55.402,56.566,57.733,58.715,59.709,60.595,61.443,62.161,62.927,63.592,64.162,64.766,65.257,65.741,65.969,65.33,66.897,67.315
Ethiopia,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,..,..,41.3,..,..,..,..,..,37.4,..,..,..,..,33,..,..,..,..,..,38.6,..,..
Ethiopia,Gini index,..,..,..,..,29.8,..,..,..,..,..,33.2,..,..,..,..,35,..,..,..,..,..,31.1,..,..
Ethiopia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.5,3.176,3.06,2.995,2.767,2.497,2.351,2.347,2.335,2.331,2.3,2.275,2.255,2.251,2.359,2.443,2.554,2.662,2.802,2.917,3.994,3.935,3.409,3.402
Ethiopia,"Inflation, consumer prices (annual %)",..,..,0.6750891022,13.6740452,3.327370479,9.969971235,12.29947631,17.24040083,44.35668588,8.483644045,8.14926403,33.24995988,23.60041768,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216,33.88987971,30.21882781
